"","TRUE","TRUE","2828","","","10572-F","Insectarium","4581, rue Sherbrooke Est, Montréal","Clement Coste","X","","5233848","","J’ai coupé et retiré l’ascenseur Bâtiment B (ascenseur du lobby) , mais je n'ai pas pu faire l'autre car il était encore sur le bois , Bâtiment A (ascenseur de la cour intérieur) , je ne peux pas copier un autre ascenseur  car il est le seule a deux portes. J’ai laissé le tapis pour l'autre ascenseur sur place au gestionnaire suite à notre conversation  //  Fait,  oublier de prendre la photo du tapis à l'entrée , pas de tape a la demande du client ( femme + Clément Coste )      Pick-up Centura au 5885, chemin de la Côte-de-Liesse, Saint-Laurent","","4","","","","146","TRUE","","","","","",""
"","","","","","","NO projet","Nom","Adresse","Contact","","","","","Commentaires","","","","","","","","","","","","",""
"","TRUE","TRUE","2764","11 janvier","","10518-F","Polo Store MIrabel","19001, chemin Notre-Dame, Mirabel","Nagat Ayari","x","","","","tapis coco a enlever et installer le nouveau. Le tapis est chez Solatheque","","4","","","","","TRUE","","","","","",""
"","TRUE","TRUE","2765","11 janvier","","10516-F","Montreal Cowork","4388 Rue St-Denis","Nathalie Dubreuil","X","","20168","","","","","","","","","TRUE","","","","","",""
"","TRUE","TRUE","2771","","","10531-F","Jubilant Pharma","16751 Transcanadienne","Eric Daoust","X","","23310783","","**  Les rouleaux de tapis n'étaient pas très beaux mais j'ai réussi à installer, seulement la dernière laize qui n'était vraiment pas belle. Voici les photos. Il reste 10 PL et petit morceau de 3.3 sinon les 4 rouleaux ont été installés.  - J'ai 26 heures de temps d'installation totale avec les moulures. En calculant le prix des moulures j'arrive très juste en temps d'installation total mais je rentre dans les heures  *chez Rosedale : a ramasser maximum le 17 janvier","","","465","15","","1830","TRUE","","","","","",""
"","TRUE","TRUE","2772","","","10380-F","1001 Robert-Bourrassa","700, rue de la Gauchetière","Shona Thep","","","","","3500$ temps homme ***   tous les tapis ont été replacés  ***","","","","15","","","TRUE","","","","","",""
"","TRUE","TRUE","2773","","","10530-F","SDC Dubuisson PH2","9290, dubuisson","Megan Allard","X","","20339","","Les trois portes au RDC ne passent pas , j'ai modifier","","4","30","3","","485","TRUE","","","","","",""
"","TRUE","TRUE","2776","","","10527-F","SDC 8 Dufferin","8 rue Dufferin, Montréal","Thelma Martinez","X","","20385","","","","","","","","","TRUE","","","","","",""
"","TRUE","TRUE","2777","","","10532-F","Centre de vaccination Décarie","6900 du Square Décarie, Montréal","Jacob Maman","X","","20419","","","","4","12","2","","236","TRUE","","","","","",""
"","TRUE","TRUE","2779","","","10543-F","Résidence LE22","4400, rue Jean-Talon Est, Montréal","Benoit Arsenault","N/A","","","","*prendre dans stock","","5","150","4","","459","TRUE","","","","","",""
"","TRUE","TRUE","2781","","","10540-F","KOTV","300, place Charles-Lemoyne, Longueuil","Isabelle Martin","N/A","","","","Stock Solatheque","","5","30","2","","472","TRUE","","","","","",""
"","TRUE","TRUE","2784","","","10471-F","Nordelec","1741, rue Richardson, Montréal","Daniel Martos","X","","20737","","","","6","35","3","","590","TRUE","","","","","",""
"","TRUE","TRUE","2785","","","10448-f","Club MAA","2070, rue Peel, Montréal","Dolores Abreu","X","","20861","","pllage horaire: Rush matin : entre 7h et 8h30 
Rush après-midi : entre 11h et 14h et avant 16h00
","","4","","3","","426","TRUE","","","","","",""
"","TRUE","TRUE","2786","","","10542-F","CCRL (we et 3e étage)","325, rue Docteur Charles-Léonard, St-Jérôme","Marilyn Croizer","X","","20857","","","","6","70","4","","615","TRUE","","","","","",""
"","TRUE","TRUE","2787","","","10548-F","Médifice CMDL3  (RDC)","325, rue Docteur Charles-Léonard, St-Jérôme","Raphael Guerra","X","","20876","","","","4","30","2","","236","TRUE","","","","","",""
"","TRUE","TRUE","2788","5 février","","10554-F","École des Grands-Êtres","1150, rue Deguire, Ville Saint-Laurent","Thi Que Huong Pham","X","","20999","","Beaver","","11","40","5","","1036","TRUE","","","","","",""
