"","","","","","","","","","","","","","","BLEU : mettre à l'horaire","","VERT : courriel à envoyer","","","GRIS : travail fait, à / ou facturé","","","","","","","","","","","","NOUVEAU 2022","","","","","","","","","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"","","","","","","","","","","",""," Carreaux "," Moulures "," # Projet"," Noms"," Adresse","Ville","","Contact sur les lieux ou code accès - stationnement remorque","Commentaires - Automne 2023","Commentaires - Printemps 2023","Code Postal","","pickup/ref","","",""," Moulure à changer ","","","Courriel","","","Photo","Commentaires - Automne  2022","Commentaires - Printemps 2022","Commentaires - automne 2021","Commentaires - printemps 2021","Commentaires 2020","Détail des tapis","Fact #","","","","Ajustement à faire","Ajustement à faire 2020","","","","","","","","","","","","","",""
"","","TRUE","FALSE","2521","FALSE","TRUE","TRUE","","FALSE","FALSE","  1 798 ","","","1067-ET","Résidence Ora","1580, rue Jacques-Casault","Montréal","","","","","H2M 2N9","","","","","","","TRUE","TRUE","cse@residenceora.com","FALSE","FALSE","","","","","","","","","","","TRUE","","","","","","","","","","","","","","","",""
"Édifice","2651","TRUE","FALSE","2521","FALSE","TRUE","TRUE","2582","TRUE","TRUE","  3 100 ","","","1180-ET","Allied - Viger","425, Viger Ouest","Montréal","31 octobre","","Client veut soumission pour 6 tapis d'ascenseur et logo","","H2Y 3Y7","FALSE","","2","5","","","TRUE","TRUE","dmartos@alliedreit.com","TRUE","TRUE","","","neuf 2 rouleaux non installés - total 3100","","","","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Édifice","2729","TRUE","FALSE","2513","FALSE","TRUE","TRUE","2565","TRUE","TRUE","12419","Moulures","","0859-ET","Complexe Guy Favreau","200, René-Levesque O","Montréal","","laeticia.kabambi@bgis.com
 /  bureau de sécurité qui vous donnera vos accès","6 déc : 1er déc : 4,5 bte moulures Étages 12,11 et 9 - 5 b moulures  / 30 nov : 4.5 boîtes de moulures. Étages, 4 , 5,6 et moulures d'étage 2 et 3  /29 nov : tour Est étages 2 et 3 MANQUE MOULURES CONTOUR / 15 nov : Tour ouest 5 étages de fait / Tous les ascenseurs sont fait sauf #1 tour EST , elle est en panne, reste 4 étages à faire.  Reste tour est à faire / 5 boîtes de moulures / 13 nov : 4h – 2 per – 8 tapes RDC 1+2   ***cube ***","Pc a été changer dû au reno , le total + Aussi calculé le PC des tapis ajouté au RDC 2 Tour","H2Z 1X4","FALSE","","","","","","TRUE","TRUE","Tristan.Comtois@bgis.com","TRUE","TRUE","","*** étage 6: moulures inutilisables, jamais été changé, courriel envoyé à Guylaine, voir photo*** /  Étages 2,3,4 et 10 est. **manque quelques moulures Étages 3 et 10 tour est. Étage 2 ouest à installer (devant d'ascenseur inexistants, car client à fait le retrait dû aux rénovations,  moulures aussi inexistantes. Tapis 1 à 5 laissés sur place car des matériaux de construction et de la poussière de plâtre rendaient impossible l'installation","livraison tapis/moulures 10 mars 22 fact 2198 / déduire 2056pc (4 étages tour ouest+2 tapis au RDC tour est+Ouest)","","","","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Résidences","2619","TRUE","FALSE","2521","FALSE","TRUE","TRUE","","TRUE","TRUE","  2 045 ","5 tapes","","0894-ET","Jardins Millen","10800, ave Millen","Montréal","12 octobre","M. Maher chef de service entretien au (514)929-0145","Concierge me demande 5 roulettes de tape , guylaine est d'accord ajouter sur le drive","","H2C 0A3","FALSE","","2","3","","","TRUE","TRUE","dg@lesjardinsmillen.com","TRUE","TRUE","","","","FAIRE L'INSTALLATION","Facturer entreposage seulement nouveaux tapis ","","","","FALSE","FALSE","TRUE","","","","FALSE","","","","","","","","","","","",""
"Édifice","2695","TRUE","FALSE","2508","FALSE","TRUE","TRUE","","FALSE","TRUE","  4 696 ","Moulures","","1169-ET","Le Windsor","1170, rue Peel","Montréal","10 nov.","","***   9,5 boîtes de moulures neuves    ***  travail nécessaire pour compléter l’installation des tapis au Windsor (les lobby du 6e-7e-8e et 9e étage n’ont pas été fait).  /  Les moulures ne collent pas car ils sont plein de colle recto verso  Paul André Rivest qui assurait la coordination ne pourra plus le faire. Je serai votre point de contact pour le moment Soh Seppowo Martin Gabriel Impossible voir courriel pour date dispo","","H3B 0A9","FALSE","","4","8","","","TRUE","TRUE","Lucie.Richard@bentallgreenoak.com","TRUE","TRUE","","manque des moulures SS1, LOBBY, ÉTAGES","À noter que les tapis d'hiver du Windsor seront enlevés par nous même. Aucun bon de commande ne vous a été envoyé. merci d'annuler votre cédule d'enlèvement de tapis pour le 22 avril.","","","","","","FALSE","FALSE","TRUE","Plus transport","","","FALSE","","","","","","","","","","","",""
"","2746","TRUE","FALSE","2516","FALSE","TRUE","TRUE","2582","TRUE","TRUE","  2 939 ","","","1237-ET","SDC Children Est/West","2300 rue Tupper","Montréal","20 décembre","Francis Borris 514-935-6999 x241","*** manque 1 tapis ascenceur ***  NE PAS LIVRER LES TAPIS, LE CLIENT NE PAYE PAS LUI AIE FAIT PART QU'IL DOIT ACQUITTÉ LA FACTURE AVANT FIN SEPTEMBRE Malheureusement, les factures restent en attente d'approbation. Nous travaillons sur le paiement de ces dernières dans les plus brefs délais, cependant Malheureusement cela ne sera pas avant la première semaine d'octobre.","","H3H 1P3","FALSE","","","","","","TRUE","TRUE","francis.borris@solutioncondo.com","TRUE","TRUE","","tapis 5 ascenseurs","","","","","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"Condo","2746","TRUE","FALSE","2516","FALSE","TRUE","TRUE","2582","TRUE","TRUE","  2 775 ","","","1236-ET","SDC Children Est/West","2320, rue Tupper","Montréal","19 décembre","Bruno (438) 874-9186, présent de 7h30 à 15h30 du lundi au vendredi.","1 ascenceur pas installer Défectueux  , laisser une place au gestionnaire Bruno  -  *** manque 3 tapis ascenceur /**** backing des tapis est fini le tape il colle pas bien **  NE PAS LIVRER LES TAPIS, LE CLIENT NE PAYE PAS LUI AIE FAIT PART QU'IL DOIT ACQUITTÉ LA FACTURE AVANT FIN SEPTEMBRE Malheureusement, les factures restent en attente d'approbation. Nous travaillons sur le paiement de ces dernières dans les plus brefs délais, cependant Malheureusement cela ne sera pas avant la première semaine d'octobre.","Ascenseur 2 hors d'usage, pas accès au tapis","H3H 1P3","FALSE","","","","","","TRUE","TRUE","francis.borris@solutioncondo.com","TRUE","TRUE","","À voir avec client pour tapis des 3 ascenseurs à neuf car jamais installés , l'année passée c'était en construction ou rénovation.","Semaine du 25 avril ou 2 mai","","","","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
"","","FALSE","FALSE","","FALSE","FALSE","FALSE","","FALSE","FALSE","","","","","","","","","","","","","FALSE","","","","","","FALSE","FALSE","","FALSE","FALSE","","","","","","","","","FALSE","FALSE","FALSE","","","","FALSE","","","","","","","","","","","",""
